                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9593,                 3.7658,                 2.4309,                0.17854,                    0.5,                 0.2354,                   0.08,                  2.345,                  4.228,                 3.3424,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.4198,                 3.3105,                 4.0724,                0.31835,                   0.25,                0.39174,                 0.1383,                 2.3077,                 4.0993,                 3.2847,               0.097297,             0.00029703,             0.00029703
                      2,                 1.7028,                 3.5002,                   2.46,                0.52687,                0.59532,                0.59271,                0.18698,                 2.2698,                 3.6338,                 3.1578,                0.09549,              0.0004901,              0.0004901
                      3,                 2.3638,                  2.762,                 2.5719,                0.60089,                0.90667,                0.74625,                  0.222,                 2.2469,                 3.0299,                 2.9883,               0.093679,             0.00067921,             0.00067921
                      4,                 2.2575,                 3.2217,                 2.4677,                0.58915,                0.95536,                0.74625,                0.28138,                 2.2363,                 2.8075,                 2.8648,               0.091864,             0.00086436,             0.00086436
                      5,                 2.0175,                 2.7538,                 2.3565,                0.75191,                      1,                0.82917,                0.35936,                 2.1555,                 2.2683,                 2.6174,               0.090046,              0.0010455,              0.0010455
                      6,                 1.7244,                 2.0691,                 1.8997,                0.82126,                      1,                0.91167,                 0.4495,                 1.9317,                 2.1968,                  2.235,               0.088223,              0.0012228,              0.0012228
                      7,                 1.6418,                 1.8262,                 2.4759,                0.97591,                0.97579,                  0.995,                0.54724,                 1.6156,                 1.9726,                 1.8767,               0.086396,               0.001396,               0.001396
                      8,                  2.024,                 1.8751,                 2.3531,                0.94885,                      1,                  0.995,                0.59694,                 1.4522,                 1.6326,                 1.6979,               0.084565,              0.0015654,              0.0015654
                      9,                 2.2044,                 1.8619,                 2.8865,                0.92847,                0.99923,                  0.995,                0.68402,                 1.1798,                 1.4261,                 1.5471,               0.082731,              0.0017307,              0.0017307
                     10,                  1.264,                 1.4005,                 1.7545,                0.97596,                      1,                  0.995,                0.77087,                 1.0857,                 1.2704,                 1.4672,               0.080892,              0.0018921,              0.0018921
                     11,                 1.1277,                 1.5138,                 1.4834,                0.91163,                0.99082,                  0.995,                0.74609,                 1.0805,                  1.272,                 1.4224,                0.07905,              0.0020495,              0.0020495
                     12,                 1.2634,                 2.2035,                 1.4838,                0.90848,                0.98837,                  0.995,                0.77104,                 1.0682,                 1.2898,                 1.4048,               0.077203,               0.002203,               0.002203
                     13,                 0.9815,                 1.2232,                  1.452,                0.92336,                 0.9885,                  0.995,                0.74606,                 1.0238,                 1.1878,                 1.3809,               0.075353,              0.0023525,              0.0023525
                     14,                 1.3236,                 1.0938,                  1.439,                0.90027,                0.98731,                  0.995,                0.78342,                  1.001,                 1.1304,                 1.3659,               0.073498,              0.0024981,              0.0024981
                     15,                0.93326,                0.88269,                 1.2752,                0.88803,                0.98694,                  0.995,                0.77103,                0.91952,                 1.2565,                 1.2667,                0.07164,              0.0026396,              0.0026396
                     16,                 1.0912,                 1.0615,                 1.3825,                0.85161,                0.96649,                  0.995,                0.77103,                 0.9774,                 1.1454,                 1.2633,               0.069777,              0.0027773,              0.0027773
                     17,                0.91446,                0.77237,                 1.2458,                0.93695,                0.99529,                  0.995,                0.77082,                0.92406,                0.95841,                 1.1923,               0.067911,              0.0029109,              0.0029109
                     18,                 1.4732,                 1.3367,                 1.6905,                0.97151,                      1,                  0.995,                0.74605,                 0.9718,                0.81834,                 1.2184,               0.066041,              0.0030407,              0.0030407
                     19,                 1.3766,                 0.8658,                 1.7906,                 0.9799,                      1,                  0.995,                0.82061,                0.89077,                0.76376,                 1.1644,               0.064166,              0.0031664,              0.0031664
                     20,                0.83711,                0.67374,                 1.1924,                0.97744,                      1,                  0.995,                0.73377,                0.97568,                 0.7582,                 1.2815,               0.062288,              0.0032882,              0.0032882
                     21,                0.89215,                0.87265,                 1.1637,                 0.9746,                      1,                  0.995,                0.77106,                0.92455,                0.70543,                  1.253,               0.060406,               0.003406,               0.003406
                     22,                0.95913,                0.74095,                 1.1688,                0.95841,                      1,                  0.995,                 0.7835,                0.87929,                0.66808,                 1.1691,                0.05852,              0.0035199,              0.0035199
                     23,                0.67764,                0.64606,                 1.1671,                0.98086,                      1,                  0.995,                 0.7835,                0.92746,                0.74426,                 1.2397,                0.05663,              0.0036298,              0.0036298
                     24,                  0.985,                0.82265,                 1.3133,                0.97063,                      1,                  0.995,                0.77106,                0.95777,                0.75664,                  1.305,               0.054736,              0.0037358,              0.0037358
                     25,                0.57672,                0.64161,                 1.1743,                0.94496,                      1,                  0.995,                0.80826,                0.89546,                0.76761,                 1.1955,               0.052838,              0.0038378,              0.0038378
                     26,                0.57854,                0.64904,                 1.1175,                0.97937,                      1,                  0.995,                0.77096,                0.96459,                0.70697,                 1.3093,               0.050936,              0.0039358,              0.0039358
                     27,                0.83794,                0.56871,                 1.1025,                0.97937,                      1,                  0.995,                0.77096,                0.96459,                0.70697,                 1.3093,                0.04903,              0.0040299,              0.0040299
                     28,                0.66872,                0.73923,                 1.0976,                 0.9727,                      1,                  0.995,                0.69658,                 1.1222,                0.73657,                 1.4969,                0.04712,                0.00412,                0.00412
                     29,                0.90784,                  0.632,                 1.1536,                0.98111,                      1,                  0.995,                0.75883,                0.97868,                0.62258,                 1.2425,               0.045206,              0.0042061,              0.0042061
                     30,                0.93728,                0.60188,                 1.4333,                0.98111,                      1,                  0.995,                0.75883,                0.97868,                0.62258,                 1.2425,               0.043288,              0.0042883,              0.0042883
